authors,series,title
"Anderson, Kevin J","L'Académie Jedi","La quête des Jedi"
"Van Vogt, Alfred E","","La guerre contre le Rull"
"Del Toro, Guillermo","La lignée","La lignée"
"Anderson, Poul","La Patrouille du Temps","La patrouille du temps"
"Simak, Clifford D","","Demain les chiens"
"Vance, Jack","","Un monde d'azur"
"Asimov, Isaac","Veufs Noirs","Puzzles au Club des Veufs Noirs"
"Brin, David","","Le facteur"
"Haldeman, Joe","","La Guerre Éternelle"
"Grimbert, Pierre","","La Reine des Amazones"
"Salvatore, R.A","","Le Roi Orque"
"Van Vogt, Alfred E","","À l'assaut de l'invisible"
"Stoker, Bram","","Dracula"
"Anderson, Poul","La Patrouille du Temps","La rançon du temps"
"Lindholm, Megan","","Le Dieu dans l'ombre"
"Bear, Greg","","L'Échelle de Darwin"
"Simmons, Dan","","La Mort du Centaure"
"William Shakespeare","","Romeo and Juliet"
"Mc Caffrey, Anne","Le vol de Pégase","Le bond vers l'infini"
"Unknown","","Glitch"
"Stohl","","Le Livre des lunes - Tome 2 - 17 Lunes"
"Vanak","","La menace de la nuit"
"Salvatore,R.A.","Demon Wars","Demon Wars 03- L'Apôtre du Démon"
"Shayne","","La malédiction des immortels"
"Unknown","","La forêt des captifs"
"Eric Giacometti","Antoine Marcas","Antoine Marcas - 6 - Apocalypse"
"Eric Giacometti","Antoine Marcas","Antoine Marcas - 7 - Lux Tenebrae"
"Eric Giacometti","Antoine Marcas","Antoine Marcas - 5 - La croix des assassins"
"Eric Giacometti","Antoine Marcas","Antoine Marcas - 4 - Le frere de Sang"
"Eric Giacometti","Antoine Marcas","Antoine Marcas - 3 - Conjuration Casanova"
"Eric Giacometti","Antoine Marcas","Antoine Marcas - 2 - Le rituel de l'ombre"
"Eric Giacometti","Antoine Marcas","Antoine Marcas - 1 - In Nomine"
