authors,series,title
"Glen Cook","Compagnie Noire","L'eau dort 2"
"Cook, Glen","Compagnie Noire","L'eau dort 1"
"Cook, Glen","Compagnie Noire","Jeux d'ombres"
"Cook, Glen","Compagnie Noire","Elle est les ténèbres 2"
"Cook, Glen","Compagnie Noire","Elle est les ténèbres 1"
"Colfer, Eoin","Artemis Fowl","Opération Opale"
"Colfer, Eoin","Artemis Fowl","Mission polaire"
"Eoin Colfer","Artemis Fowl","Artemis Fowl 4 - Opération Opale"
"Colfer, Eoin","Artemis Fowl","Le paradoxe du temps"
"Colfer, Eoin","Artemis Fowl","Le Complexe D'Atlantis"
"Colfer, Eoin","Artemis Fowl","Colonie perdue"
"Eoin Colfer","","Artémis Fowl Et Le Complexe D'Atlantis"
"Colfer, Eoin","Artemis Fowl","Code éternité"
"Eoin Colfer","Artemis Fowl","Artemis Fowl 3"
"Colfer, Eoin","Artemis Fowl","Artemis Fowl"
"Coe, David B","La Couronne des 7 Royaumes","Les Graines de la Discorde"
"Coe, David B","La Couronne des 7 Royaumes","Les Fruits de la Vengeance"
"Coe, David B","La Couronne des 7 Royaumes","Le Sang des Traîtres"
"Coe, David B","La Couronne des 7 Royaumes","Le Prince Tavis"
"Coe, David B","La Couronne des 7 Royaumes","Le Pacte des Justes"
"Coe, David B","La Couronne des 7 Royaumes","Le Complot des Magiciens"
"Coe, David B","La Couronne des 7 Royaumes","Le Combat des Innocents"
"Coe, David B","La Couronne des 7 Royaumes","La Guerre des Clans"
"Coe, David B","La Couronne des 7 Royaumes","L'Armée de l'Ombre"
"Clemens, James","Les bannis et les proscrits","Les Foudres de la Sor'cière"
"Coe, David B","La Couronne des 7 Royaumes","L'Alliance Sacrée"
"Clemens, James","Les bannis et les proscrits","Le Portail de la Sor'cière"
"Clemens, James","Les bannis et les proscrits","Le Feu de la Sor'cière"
"James Clemens","Les bannis et les proscrits","La guerre de la Sor'cière"
"Clemens, James","Chronique des dieux","L'ombre du chevalier"
"James clemens - Chroniques des dieux - 2","","L'ombre du chevalier -"
"Clemens, James","Chronique des dieux","L'ombre de l'assassin"
"Clemens, James","Les bannis et les proscrits","L'Etoile de la Sor'cière"
"Clarke, Arthur C","Base Vénus","Point de Rupture"
"Clarke, Arthur C","","Méduse"
"Arthur C. Clarke - Paul Preuss","by SLY70","Arthur C. Clarke - Paul Preuss - Base Vénus 01 - Point de Rupture"
"Clarke, Arthur C","Base Vénus","Maelstrom"
"Clarke, Arthur C","Base Vénus","Les Lumineux"
"Clarke, Arthur C","Base Vénus","La Lune de Diamant"
"Clarke, Arthur C","","L'Oeil du temps"
"Clarke, Arthur C","Base Vénus","Cache-cache"
"Clarke, Arthur C","Odyssée","3001 : l'odyssée finale"
"Clarke, Arthur C","Odyssée","2061 : odyssée trois"
"Clarke, Arthur C","Odyssée","2010 : odyssée deux"
"Clarke, Arthur C","Odyssée","2001 : l'odyssée de l'espace"
"Card, Orson Scott","Le Cycle d'Ender","Xenocide"
"Card, Orson Scott","Le Cycle d'Ender","Les enfants de l'esprit"
"Card, Orson Scott","Le Cycle d'Ender","La voix des morts"
"Card, Orson Scott","Le Cycle d'Ender","La Stratégie Ender"
"calibre","","Mes livres"
"Cameron, Miles","","Le Chevalier rouge"
"Butcher, Jim","Les Dossiers Dresden","Tombeau ouvert"
"Butcher, Jim","Les Dossiers Dresden","Suaire froid"
"Butcher, Jim","Les Dossiers Dresden","Lune fauve"
"Butcher, Jim","Codex Aléra","Les Furies de Calderon"
"Butcher, Jim","Codex Aléra","La Furie du Curseur"
"Butcher, Jim","Codex Aléra","La Furie du capitaine"
"Butcher, Jim","Codex Aléra","La Furie de l'Academ"
"Butcher, Jim","Les Dossiers Dresden","Fée d'Hiver"
"Butcher, Jim","Les Dossiers Dresden","Avis de tempête"
"Bunch, Chris","","Les ailes de l'orage"
"Bunch, Chris","","La dernière bataille"
"Bunch, Chris","","L'ordre du dragon"
"Serge Brussolo - La planète des ouragans - 1","","Rempart des Naufrageurs"
"Brussolo, Serge","","Procédure d'Evacuation Immédiate des Musées Fantômes"
"Serge Brussolo - Les Soldats de goudron - 4","","Opération serrures carnivores"
"Brussolo, Serge","","Nouchka et la caverne aux mille secrets"
"Serge Brussolo - Nouchka - 1","","Nouchka & Les Géants"
"Brussolo, Serge","","Nouchka & La Couronne Maudite"
"Brussolo, Serge","","Naufrage sur une Chaise Electrique"
"Brussolo, Serge","","Les Sentinelles d'Almoha"
"Brussolo, Serge","","Les Semeurs d'Abîmes"
"Serge Brussolo - Peggy Meetchum - 1","","Les Enfants du Crépuscule"
"Brussolo, Serge","","Les Emmurés"
"Brussolo, Serge","","Le Zoo ensorcelé"
"Brussolo, Serge","","Le Visiteur Sans Visage"
"Brussolo, Serge","","Le Tombeau du Roi Squelette"
"Brussolo, Serge","","Le Syndrome du scaphandrier"
"Brussolo, Serge","","Le Sommeil du démon"
"Brussolo, Serge","","Le Rire du Lance Flamme"
"Brussolo, Serge","","Le Puzzle de Chair"
"Brussolo, Serge","","Le Pique-Nique du Crocodile"
"Brussolo, Serge","","Le Papillon des abimes"
"Brussolo, Serge","","Le Nuisible"
"Brussolo, Serge","","Le Murmure des loups"
"Brussolo, Serge","","Le Livre du grand secret"
"Brussolo, Serge","","Le labyrinthe du Pharaon"
"Serge Brussolo - Le Labyrinthe de pharaon - Anouna","","1998"
"Brussolo, Serge","","Le Jour du chien bleu"
"Serge Brussolo - Le Roi Squelette - 1","","Le Dragon du Roi Squelette"
"Brussolo, Serge","","Le Chateau noir"
"Brussolo, Serge","","Le chat aux yeux jaunes"
"Brussolo, Serge","","Le Carnaval de fer"
"Brussolo, Serge","","La révolte des dragons"
"Brussolo, Serge","","La Princesse Noire"
"Brussolo, Serge","","La Petite fille et le dobermann"
"Serge Brussolo","","La Nuit du bombardier"
"Brussolo, Serge","","La mélancolie des sirènes"
"Brussolo, Serge","","La Main froide"
"Brussolo, Serge","","La Jungle Rouge"
"Brussolo, Serge","","La Fille de la nuit"
"Brussolo, Serge","","La fille de l'archer"
"Brussolo, Serge","","La Colere des ténèbres"
"Serge Brussolo - Peggy Sue et les fantômes - 6","","La Bête des souterrains"
"Brussolo, Serge","","L'Ombre des Gnomes"
"Brussolo, Serge","","L'Enfer c'est à Quel Etage?"
"Brussolo, Serge","","Iceberg ltd"
"Serge Brussolo","","L'Enfer c'est à Quel Etage"
"Brussolo, Serge","","Enfer Vertical"
"Brussolo, Serge","","Dortoir interdit"
"Brussolo, Serge","","De l'autre cote du mur des ténèbres"
"Brussolo, Serge","","Dangers, parking miné !"
"Serge Brussolo - Agence 13 - 2","","Ceux d'en bas"
"Serge Brussolo","","Ce qui mordait le ciel"
"Brussolo, Serge","","Carnets secrets d'un cambrioleur"
"Brussolo, Serge","","Captain Suicide"
"Brussolo, Serge","","Baignade accompagnee"
"Brussolo, Serge","","Ambulance Cannibale Non Identifiée"
"Brussolo, Serge","","A l'image du dragon"
"Brooks, Terry","Cycle de Shannara","Tanequil"
"Brooks, Terry","Cycle de Shannara","Straken"
"Brooks, Terry","Cycle de Shannara","Le Haut Druide de Shannara 2 - Tanequil"
"Brooks, Terry","Cycle de Shannara","Le Haut Druide de Shannara 3 - Straken"
"Brooks, Terry","Royaume Magique à Vendre","Royaume Magique à Vendre !"
"Brooks, Terry","Royaume Magique à Vendre","Princesse De Landover"
"Brooks, Terry","Cycle de Shannara","Morgawr"
"Brooks, Terry","Cycle de Shannara","Les Talismans De Shannara"
"Brooks,Terry","Cycle de Shannara","Le Voyage du Jerle Shannara 3 - Morgawr"
"Brooks,Terry","Cycle de Shannara","L'Héritage De Shannara 4 - Les Talismans De Shannara"
"Brooks, Terry","Cycle de Shannara","Les Pierres Elfiques De Shannara"
"Brooks, Terry","Cycle de Shannara","Les Descendants De Shannara"
"Brooks,Terry","Cycle de Shannara","Shannara 2 - Les Pierres Elfiques De Shannara"
"Brooks, Terry","Royaume Magique à Vendre","Le Sceptre Et Le Sort"
"Brooks,Terry","Cycle de Shannara","L'Héritage De Shannara 1 - Les Descendants De Shannara"
"Brooks, Terry","Cycle de Shannara","Le Druide De Shannara"
"Brooks, Terry","Royaume Magique à Vendre","Le Brouet Des Sorcières"
"Brooks,Terry","Cycle de Shannara","L'Héritage De Shannara 2 - Le Druide De Shannara"
"Brooks, Terry","Cycle de Shannara","La Sorcière d'Isle"
"Brooks, Terry","Cycle de Shannara","La Reine Des Elfes De Shannara"
"Brooks, Terry","Royaume Magique à Vendre","La Licorne"
"Brooks,Terry","Cycle de Shannara","Le Voyage Du Jerle Shannara 1 - La Sorcière d'Isle"
"Brooks,Terry","Cycle de Shannara","L'Héritage De Shannara 3 - La Reine Des Elfes De Shannara"
"Terry Brooks","Royaume Magique à Vendre","Royaume Magique à Vendre ! Tome 2 : La Licorne"
"Brooks, Terry","Royaume Magique à Vendre","La boîte à malice"
"Brooks, Terry","Cycle de Shannara","L'épée de Shannara"
"Brooks, Terry","Cycle de Shannara","L'enchantement de Shannara"
"Brooks,Terry","Cycle de Shannara","Shannara 1 - L'épée de Shannara"
"Brooks, Terry","Cycle de Shannara","Le Haut Druide de Shannara, tome 1 : Jarka Ruus"
"Brooks,Terry","Cycle de Shannara","Shannara 3 - L'enchantement de Shannara"
"Brooks, Terry","Cycle de Shannara","Jarka Ruus"
"Brooks, Terry","Cycle de Shannara","Antrax"
"Brooks,Terry","Cycle de Shannara","Le Voyage Du Jerle Shannara 2 - Antrax"
"Brett, Peter V","Le cycle des démons","La Lance du désert"
"Brett, Peter V","Le cycle des démons","La Guerre du Jour"
"Brett, Peter V","Le cycle des démons","L'Homme-Rune"
"Oliver Bowden","","Assassin's Creed Revelations"
"Bowden, Oliver","","Assassin's Creed Renaissance"
"Oliver Bowden","","Assassin's Creed La Croisade secrète"
"Oliver Bowden","assassin's creed","Assassin's Creed forsaken"
"Bowden, Oliver","","Assassin's Creed Brotherhood"
"Bowden, Oliver","","Assassin's Creed Black Flag"
"Bottero, Pierre","","Les limites obscures de la magie"
"Bottero, Pierre","La Quête d'Ewilan","Les Frontières De Glace"
"Bottero, Pierre","La Quête d'Ewilan","L'île Du Destin"
"Bottero, Pierre","Le PacTe des MarchOmbres","Ellana l'envol"
"Pierre Bottero","Le PacTe des MarchOmbres","Ellana - La Prophétie"
"Pierre Bottero","","Le Pacte DES Marchombres/Ellana L'Envol"
"Bottero, Pierre","Le PacTe des MarchOmbres","Ellana"
"Bottero, Pierre","La Quête d'Ewilan","D'un Monde à L'Autre"
"Bordage, Pierre","Les guerriers du silence","Terra Mater"
"Pierre Bordage","Les guerriers du silence","02 - Terra Mater"
"Bordage,Pierre","Abzalon","Orchéron"
"Bordage, Pierre","Les derniers hommes","Les légions de l'Apocalypse"
"Bordage, Pierre","Les guerriers du silence","Les guerriers du silence"
"Pierre Bordage","Les guerriers du silence","01 - Les guerriers du silence"
"Bordage, Pierre","Les derniers hommes","Les douze Tribus"
"Bordage,Pierre","Les derniers hommes","Les Derniers Hommes -3- Les légions de l'Apocalypse"
"Bordage, Pierre","Les derniers hommes","Les chemins du secret"
"Bordage,Pierre","Les derniers hommes","Les Derniers Hommes -5- Les douze Tribus"
"Bordage, Pierre","Les derniers hommes","Le peuple de l'eau"
"Bordage,Pierre","Les derniers hommes","Les Derniers Hommes -4- Les chemins du secret"
"Bordage,Pierre","Les derniers hommes","Les Derniers Hommes -1- Le peuple de l'eau"
"Bordage, Pierre","Les derniers hommes","Le dernier jugement"
"Bordage, Pierre","Les derniers hommes","Le cinquième ange"
"Pierre Bordage","Les guerriers du silence","03 - La citadelle Hyponeros"
"Bordage, Pierre","Les guerriers du silence","La citadelle Hyponeros"
"Bordage Pierre","","Les Derniers Hommes -2- Le cinquième ange"
"Bordage,Pierre","Les derniers hommes","Les Derniers Hommes -6- Le dernier jugement"
"Bordage, Pierre","Abzalon","Abzalon"
"Baxter, Stephen","","Transcendance"
"Baxter, Stephen","","Titan"
"Baxter, Stephen","","Temps"
"Baxter, Stephen","","Origine"
"Baxter, Stephen","","Lumière des jours enfuis"
"Baxter, Stephen","","Les Vaisseaux du Temps"
"Baxter, Stephen","","Exultant"
"Baxter, Stephen","","Evolution"
"Baxter, Stephen","","Espace"
"Baxter, Stephen","","Déluge"
"Baxter, Stephen","","Coalescence"
"Baxter, Stephen","","Arche"
"Barrow, Wayne","","Bloodsilver"
"Barclay, James","Les Légendes des Ravens","SylveLarme"
"Barclay, James","Les Légendes des Ravens","OrageDémon"
"Barclay, James","Les chroniques des Ravens","OmbreMage"
"Barclay, James","Les chroniques des Ravens","NoirZenith"
"Barclay, James","Les Légendes des Ravens","CendreCoeur"
"Barclay,James","Les chroniques des Ravens","AubeMort"
"Barclay, James","Les Légendes des Ravens","ÂmeRaven"
"Banks, Iain M","La Culture","Une forme de guerre"
"Banks, Iain M","La Culture","Le sens du vent"
"Banks, Iain M","La Culture","L'Usage des armes"
"Banks, Iain M","La Culture","L'Homme des jeux"
"Banks, Iain M","La Culture","L'Essence de l'art"
"Banks, Iain M","La Culture","Inversions"
"Iain M. Banks","La Culture","Excession"
"Asimov, Isaac","Robots","Un défilé de robots"
"Asimov, Isaac","Empire","Tyrann"
"Asimov, Isaac","Fondation","Terre et Fondation"
"Asimov, Isaac","Fondation","Seconde Fondation"
"Asimov, Isaac","Fondation","Prelude a Fondation"
"Asimov, Isaac","","Némésis"
"Asimov, Isaac","Asimov Nouvelles","Mortelle est la nuit"
"Asimov, Isaac","Elijah Baley","Les robots et l'empire"
"Asimov, Isaac","Elijah Baley","Les robots de l'aube"
"Asimov, Isaac","","Les robots"
"Asimov, Isaac","","Les oceans de Venus"
"Asimov, Isaac","Empire","Les courants de l'espace"
"Asimov, Isaac","Elijah Baley","Les cavernes d acier"
"Asimov, Isaac","Robots","Le robot qui revait"
"Asimov, Isaac","","Le livre d'or de la science fiction"
"Asimov, Isaac","","La fin de l'éternité"
"Asimov, Isaac","","L'invité du ciel"
"Asimov, Isaac","","L'homme bicentenaire"
"Asimov, Isaac","","L'Enfant Du Temps"
"Asimov, Isaac","Fondation","L'aube de Fondation"
"Asimov, Isaac","","Jusqu'à la quatrième génération"
"Asimov, Isaac","Fondation","Fondation foudroyée"
"Asimov, Isaac","Fondation","Fondation et empire"
"Asimov, Isaac","Fondation","Fondation"
"Isaac Asimov","Asimov Nouvelles","Flûte,flûte et flûte !"
"Asimov, Isaac","Elijah Baley","Face aux feux du Soleil"
"Asimov, Isaac","Asimov Nouvelles","Flûte, flûte et flûte !"
"Asimov, Isaac","","David Starr"
"Asimov, Isaac","Veufs Noirs","Casse-tête au Club des Veufs Noirs"
"Asimov, Isaac","Empire","Cailloux dans le ciel"
"Asimov, Isaac","","Azazel"
"Ange","Les Trois lunes de Tanjor","Le Peuple Turquoise"
"Ange","Les Trois lunes de Tanjor","La Mort D'Ayesha"
"Ange","Les Trois lunes de Tanjor","La Flamme D'Harabec"
"Abercrombie, Joe","","Servir froid"
"Abercrombie, Joe","La Première loi","Premier sang"
"Abercrombie, Joe","","Pays rouge"
"Abercrombie, Joe","","Les Héros"
"Abercrombie, Joe","La Première loi","Dernière querelle"
"Abercrombie, Joe","","Héros, Les"
"Abercrombie, Joe","La Première loi","Dernière quérelle"
"Abercrombie, Joe","La Première loi","Déraison et sentiments"
"Blackman, Malorie","Entre Chiens et Loups","Entre Chiens Et Loups"
"Richelle Mead","georgina t3","succubus dream"
"Kerstin Gier","Trilogie des Joyaux","Vert émeraude"
"Aguirre","","Enclave - Tome 2 - Salvation"
"Gena Showalter","Chroniques De Zombieland","Alice au pays des Zombies"
"Athame","","Singh Nalini - Otage Du Plaisir - Psy-Changeling T5"
"Ann Aguirre","Enclave","Enclave T0 - Les origines"
"Jacqueline Carey","Imriel","Imriel - 01 - L'Héritier de Kushiel"
"Richelle Mead","","Vampire Academy T5 liens de l'esprit"
"Moning, Karen Marie","","Les Chroniques De Dani Mega O'Malley - 1"
"L'homme, Erik","A Comme Association","Car nos Coeurs sont hantés"
"La Grâce de Kushiel","","Imriel Tome 3"
"Mafi Tahereh","","Ne me touche pas"
"Athame","","Singh Nalini - Souvenirs Ardents - Psi-Changeling T7"
"Athame","","Singh Nalini - Visions Torrides - Psy-Changeling T2"
"Ann Aguirre","","Enclave 3 - La Horde"
"Guillaume Musso","","Demain"
"Stephen, King","","22/11/63_S_King-storming"
"Athame","","Jones Darynda - Deuxième Tombe Sur La Gauche - Charley Davidson T2"
"Athame","","Singh Nalini - Caresses De Glace - Psy-Changeling T3"
"Lilie","","ob 60fdbb margaret-mitchell-autant-en-emporte-le-vent-t-i"
"Brandon Sanderson","","Warbreaker (orbit) (French Edition)"
"Collins,Suzanne","Hunger Games","L'embrasement"
"Riordan Rick","","Héros de l’olympe"
"Jasper Fforde","","Le Puits Des Histoires Perdues"
"Lehane, Denis","","Mystic River"
"Blackman, Malorie","Entre Chiens et Loups","La Couleur De La Haine"
"Rick Riordan & Nathalie Serval","","Magnus Chase et les dieux d'Asgard - tome 3 : Le vaisseau des damnés (A.M.ROMANS ADOS) (French Edition)"
"Athame","","Jones Darynda - Première Tombe Sur La Droite - Charley Davidson T1"
"Riordan,Rick","Percy Jackson","La Bataille du labyrinthe"
"Arthur, Keri","Risa Jones","La proie des ténèbres T4"
"Richelle Mead","Georgina Kincaid 4 -","Succubus heat"
"Auteur inconnu","","Sans Honte"
"Blackman, Malorie","Entre Chiens et Loups","Le Choix D'Aimer"
"Showalter, Gena","","Alice et le miroir des Maléfices:T2 - CHRONIQUES DE ZOMBIELAND"
"Gail Carriger","Le protectorat de l'ombrelle","Sans forme (Le protectorat de l'ombrelle)"
"C. J. DAUGHERTY","","Night School - Tome 4 (French Edition)"
"James Dashner","","L'épreuve, Tome 1 : Le Labyrinthe"
"Ann Aguirre","Enclave","Enclave"
"JUSTIN CRONIN","","LE PASSAGE"
"Rick Riordan","","Les Travaux d'Apollon - tome 1 : L'oracle caché (Wiz) (French Edition)"
"Athame - Elizabethaa","","Darynda Jones - Charley Davidson T04 - Quatrième tombe au fond"
"Richelle Mead","","Vampire Academy T4 Promesse de sang"
"Chloe Neill","Les Vampires de Chicago","Morsures en eaux troubles"
"Arthur, Keri","Risa Jones","Ténèbres dévorantes T3"
"Chevy Stevens","","Sequestrée"
"JOMAIN, Sophie","","Les étoiles de Noss Head 3 - Accomplissement"
"Richelle Mead","","Vampire Academy T3 Baiser de l'ombre"
"Landay,William","","Défendre Jacob"
"YANCEY, Rick","","La 5e vague (French Edition)"
"Véronica Roth","Divergence","Allégeance"
"Roth,Veronica","Divergent","Divergente"
"Rick Riordan","","det_Magnus Chase et les dieux d'Asgard - L'épée de l'été"
"Thomas H. Cook","","Les feuilles mortes"
"C. J. DAUGHERTY","","Héritage - Livre II"
"Neill, Chloe","Les Vampires de Chicago","Les Vampires de Chicago 2 Petites morsures entre amis"
"Neill, Chloe","Les Vampires de Chicago","Les Vampires de Chicago 4 Mordre vous va si bien"
"Sophie Jomain","","Les étoiles de Noss Head"
"Rick Riordan","Héros de L'olympe","Héros de L'olympe Tome 1 : Le Héros Perdu"
"Jones Darynda","Charley Davidson","Troisième Tombe Tout Droit"
"Neill, Chloe","Les Vampires de Chicago","Les Vampires de Chicago 1 Certains mettent les dents"
"Neill, Chloe","Les Vampires de Chicago","Les Vampires de Chicago 3 Mordre n'est pas jouer"
"Jacqueline Carey","","La justice de Kushiel T2 Imriel Jacquline Carey"
"Riordan,Rick","Percy Jackson","Le Sort du Titan"
"Singh, Nalini","","Marques de feu: Psi-changeling, T6 (BIT LIT) (French Edition)"
"Rick Riordan","Héros de L'olympe","Le Fils de Neptune_By Sly"
"Kerstin Gier","Trilogie des Joyaux","Rouge rubis"
"Giebel, Karine","","Purgatoire des innocents"
"Collins,Suzanne","Hunger Games","La Révolte"
"Arthur, Keri","Risa Jones","Ténèbres dévoilées T5"
"Unknown","","Vampire Academy T6 Sacrifice Ultime De Richelle Mead"
"Carriger","","Sans âme (Le Protectorat de l'ombrelle)"
"Cate Tiernan","","Wicca tome 1"
"Athame","","Signh Nalini - Mienne Pour Toujours - Psy-Changeling T4"
"Jean-Philippe Jaworski","","Janua Vera"
"Rick Riordan","","Héros de l'Olympe - tome 5"
"Riordan,Rick","Percy Jackson","Le Dernier Olympien"
"Sophie Jomain","Les etoiles de Noss Head","Rivalités"
"Sophie Jomain","","Les étoiles de Noss Head 4 : Origines, 1ère partie"
"Auteur inconnu","","SANS ÂGE"
"Erik L'Homme","A Comme Association","-A comme Association - Tome 8 - Le regard brûlant des étoiles"
"Tiernan, Cate","Wicca","Wicca 5"
"Cate Tiernan","Wicca (4)","Wicca 4"
"Cate Tiernan","","Wicca tome 2"
"Cate Tiernan","","Wicca 3"
"DAUGHERTY, C. J.","","Night School (R) (French Edition)"
"Inconnu(e)","","Martyrs"
"Jones, Darynda","","[Charley Davidson 5] Cinquième tombe au bout du tunnel"
"Richelle Mead","Georgina","Succubus Revealed"
"Richelle Mead","Georgina","Succubus Night"
"Gail Carriger","Le protectorat de l'ombrelle","Sans coeur"
"MEYER, Marissa","","Cinder livre 1 (French Edition)"
"Merle, Robert","","Malevil"
"Kerstin Gier","Trilogie des Joyaux","Bleu saphir"
"Mead,Richelle","Georgina","Succubus blues"
"Richelle Mead","Georgina Kincaid 5 -","Succubus shadows"
